sample_id,ARBF,type,day,sample_id_old,month_date,sample_date,sampling_week,AR_num,AR,phase,replicate,sampling_event,water_use,extr_date,qubit_clean,qubit_nguL,sterivex_date,sterivex_filtered_vol,bf_total_homog_vol,shear_rpm,pH,conductivity,DO,temp,cl_total,cl_free,FCM_vol,TCC1,TCC2,TCC3,ICC1,ICC2,ICC3,FCM_dilution,ICC_avg,TCC_avg,ICC_cells.mL,TCC_cells.mL,bf_fcm_dilution,bf_TCC1,bf_TCC2,bf_TCC3,bf_ICC1,bf_ICC2,bf_ICC3,bf_TCC_avg,bf_ICCavg (cells/mL),ATPt1,ATPt2,ATPt3,bf_ATPt_avg_nmol.cm2,ATPt_std_RLU,ATPt_avg_RLU,ATPt_avg_nM,ATPe1,ATPe2,ATPe3,ATPe_avg_RLU,bf_ATPe_avg_nmol.cm2,bf_ATPi_avg_nmol.cm2,ATPe_avg_nM,ATPi_avg_nM,flow_rate_mL.min,residence_time_h,length.cm,8/27/2019,9/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_8,AR,tapres,8.00,tapres_tapres_5,Oct2019,10/8/2019,2,tapres,tapres,1,A,5,"3,877",,,,,,,,9.01,,,24.1,1.45,,100,4.52E+03,4.03E+03,4.13E+03,1.49E+03,1.48E+03,1.67E+03,1.00,1.55E+03,4.23E+03,,,,,,,,,,,,107055,141870,144265,,15.89024355,131063.3333,0.031331551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_15,AR,AR,15.00,AR_1_6,Oct2019,10/15/2019,3,1,AR1,1,A,6,"3,877",,,,,,,50,7.97,120.2,,22.4,0.2,,100,2.96E+03,2.85E+03,2.79E+03,2.33E+03,2.23E+03,2.34E+03,1.00,2.30E+03,2.86E+03,,,,,,,,,,,,11568,14093,12025,,10.71032013,12562,0.002320241,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_15,AR,AR,15.00,AR_2_6,Oct2019,10/15/2019,3,2,AR2,1,A,6,"3,877",,,,,,,50,8.05,106.4,,22.1,0.41,,100,7.97E+03,8.55E+03,7.66E+03,6.07E+03,6.36E+03,5.69E+03,1.00,6.04E+03,8.06E+03,,,,,,,,,,,,14278,14055,14532,,1.67036858,14288.33333,0.002676747,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_15,AR,AR,15.00,AR_3_6,Oct2019,10/15/2019,3,3,AR3,1,A,6,"3,877",,,,,,,50,8.12,106.5,,21.7,0.49,,100,2.66E+03,2.59E+03,2.80E+03,1.70E+03,1.80E+03,1.84E+03,1.00,1.78E+03,2.69E+03,,,,,,,,,,,,14118,13750,13638,,1.815064018,13835.33333,0.002582714,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_15,AR,AR,15.00,AR_4_6,Oct2019,10/15/2019,3,4,AR4,1,A,6,"3,877",,,,,,,50,7.28,104.5,,21.8,0.53,,100,2.03E+03,2.06E+03,1.98E+03,1.37E+03,1.45E+03,1.22E+03,1.00,1.34E+03,2.02E+03,,,,,,,,,,,,17422,17802,17602,,1.079512167,17608.66667,0.003375469,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_15,AR,AR,15.00,AR_5_6,Oct2019,10/15/2019,3,5,AR5,1,A,6,"3,877",,,,,,,50,7.59,115.9,,22.1,0.47,,100,3.50E+03,3.85E+03,4.02E+03,3.33E+03,3.13E+03,3.09E+03,1.00,3.18E+03,3.79E+03,,,,,,,,,,,,14385,14781,14835,,1.6752379,14667,0.002755603,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap_15,AR,tap,15.00,tap_tap_6,Oct2019,10/15/2019,3,tap,tap,1,A,6,"3,877",,,,,,,,,,,,,,100,1.47E+03,1.50E+03,1.46E+03,6.00E+01,9.60E+01,8.70E+01,1.00,8.10E+01,1.48E+03,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_15,AR,tapres,15.00,tapres_tapres_6,Oct2019,10/15/2019,3,tapres,tapres,1,A,6,"3,877",,,,,,,,9.12,131.2,,22.4,1.85,,100,5.08E+04,4.99E+04,5.30E+04,3.07E+04,4.85E+04,5.17E+04,1.00,4.36E+04,5.12E+04,,,,,,,,,,,,,158821,150421,,3.841455534,154621,0.037641399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_22,AR,AR,22.00,AR_1_7,Oct2019,10/22/2019,4,1,AR1,1,A,7,"3,877",,,,,,,50,6.75,,,22.5,0.35,0.03,100,4.27E+03,4.53E+03,4.48E+03,3.41E+03,3.53E+03,3.43E+03,1.00,3.46E+03,4.43E+03,,,,,,,,,,,,23817,21562,21196,,6.396212051,22191.66667,0.004363636,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_22,AR,AR,22.00,AR_2_7,Oct2019,10/22/2019,4,2,AR2,1,A,7,"3,877",,,,,,,50,7.82,,,22.4,0.3,0.04,100,1.07E+04,1.02E+04,9.07E+03,8.53E+03,8.26E+03,7.17E+03,1.00,7.99E+03,1.00E+04,,,,,,,,,,,,103941,23270,21521,,210.258478,22395.5,0.004408148,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_22,AR,AR,22.00,AR_3_7,Oct2019,10/22/2019,4,3,AR3,1,A,7,"3,877",,,,,,,50,6.87,,,22.1,0.46,0.04,100,4.12E+03,4.20E+03,4.22E+03,3.30E+03,3.69E+03,3.42E+03,1.00,3.47E+03,4.18E+03,,,,,,,,,,,,36574,34107,34261,,3.950793397,34980.66667,0.007231476,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_22,AR,AR,22.00,AR_4_7,Oct2019,10/22/2019,4,4,AR4,1,A,7,"3,877",,,,,,,50,6.72,,,22,0.6,0.06,100,2.29E+03,2.13E+03,2.02E+03,1.73E+03,1.71E+03,1.75E+03,1.00,1.73E+03,2.14E+03,,,,,,,,,,,,15259,15747,14857,,2.915369501,15287.66667,0.002885337,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_22,AR,AR,22.00,AR_5_7,Oct2019,10/22/2019,4,5,AR5,1,A,7,"3,877",,,,,,,50,7.85,,,22.1,0.46,0.14,100,3.75E+03,3.70E+03,3.51E+03,3.75E+03,3.57E+03,3.65E+03,1.00,3.66E+03,3.65E+03,,,,,,,,,,,,17422,16892,16970,,1.673908891,17094.66667,0.003266277,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_22,AR,tapres,22.00,tapres_tapres_7,Oct2019,10/22/2019,4,tapres,tapres,1,A,7,"3,877",,,,,,,,8.92,,,23.4,1.46,0.05,100,5.77E+03,7.09E+03,7.07E+03,2.66E+03,1.93E+03,2.14E+03,1.00,2.25E+03,6.65E+03,,,,,,,,,,,,15444,15624,16357,,3.059194243,15808.33333,0.002994617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_30,AR,AR,30.00,AR_1_8,Oct2019,10/30/2019,5,1,AR1,1,A,8,"3,877",,,,,,,50,7.83,,,22.8,0.25,0.01,100,5.07E+03,5.51E+03,5.53E+03,4.74E+03,5.16E+03,4.44E+03,1.00,4.78E+03,5.37E+03,,,,,,,,,,,,13627,12227,12699,,5.542522853,12851,0.002379566,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_30,AR,AR,30.00,AR_2_8,Oct2019,10/30/2019,5,2,AR2,1,A,8,"3,877",,,,,,,50,7.99,,,22.8,0.38,0.02,100,5.37E+03,5.51E+03,5.20E+03,3.90E+03,4.27E+03,4.03E+03,1.00,4.07E+03,5.36E+03,,,,,,,,,,,,12780,12481,12675,,1.199585405,12645.33333,0.002337332,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_30,AR,AR,30.00,AR_3_8,Oct2019,10/30/2019,5,3,AR3,1,A,8,"3,877",,,,,,,50,7.42,,,22.1,0.32,0.09,100,4.73E+03,4.76E+03,4.89E+03,3.40E+03,3.78E+03,3.24E+03,1.00,3.48E+03,4.79E+03,,,,,,,,,,,,15570,17570,15546,,7.158263496,16228.66667,0.003083129,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_30,AR,AR,30.00,AR_4_8,Oct2019,10/30/2019,5,4,AR4,1,A,8,"3,877",,,,,,,50,7.38,,,22.3,0.44,0.09,100,3.50E+03,3.59E+03,3.51E+03,2.21E+03,2.30E+03,2.18E+03,1.00,2.23E+03,3.53E+03,,,,,,,,,,,,17577,17502,19557,,6.399119559,18212,0.003504086,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_30,AR,AR,30.00,AR_5_8,Oct2019,10/30/2019,5,5,AR5,1,A,8,"3,877",,,,,,,50,8.34,,,22.4,0.52,0.09,100,4.57E+03,4.27E+03,4.08E+03,2.68E+03,2.75E+03,2.68E+03,1.00,2.70E+03,4.31E+03,,,,,,,,,,,,12476,12588,12814,,1.36364906,12626,0.002333365,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_30,AR,tapres,30.00,tapres_tapres_8,Oct2019,10/30/2019,5,tapres,tapres,1,A,8,"3,877",,,,,,,,8.61,,,22.5,0.94,0.04,100,1.35E+03,1.25E+03,1.30E+03,2.16E+02,2.01E+02,1.91E+02,1.00,2.03E+02,1.30E+03,,,,,,,,,,,,5518,5333,5634,,2.762736746,5495,0.000926706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_36,AR,AR,36.00,AR_1_9,Nov2019,11/5/2019,6,1,AR1,1,A,9,"1,738",,,,,,,50,8.01,,,22.9,0.48,0.05,100,6.97E+03,7.04E+03,5.92E+03,4.09E+03,4.07E+03,4.36E+03,1.00,4.17E+03,6.64E+03,,,,,,,,,,,,65037,46728,61207,,16.74871304,57657.33333,0.012592916,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_36,AR,AR,36.00,AR_2_9,Nov2019,11/5/2019,6,2,AR2,1,A,9,"1,738",,,,,,,50,7.12,,,22.4,0.47,0.08,100,7.99E+03,8.12E+03,6.18E+03,5.67E+03,5.54E+03,7.59E+03,1.00,6.26E+03,7.43E+03,,,,,,,,,,,,43294,45927,45341,,3.08201489,44854,0.009529652,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_36,AR,AR,36.00,AR_3_9,Nov2019,11/5/2019,6,3,AR3,1,A,9,"1,738",,,,,,,50,7.64,,,22.5,0.54,0.08,100,3.81E+03,5.29E+03,5.42E+03,2.81E+03,2.89E+03,3.39E+03,1.00,3.03E+03,4.84E+03,,,,,,,,,,,,52734,51597,50760,,1.916536951,51697,0.011156405,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_36,AR,AR,36.00,AR_4_9,Nov2019,11/5/2019,6,4,AR4,1,A,9,"1,738",,,,,,,50,7.82,,,22.5,0.75,0.17,100,3.12E+03,3.39E+03,3.51E+03,1.96E+03,1.96E+03,1.76E+03,1.00,1.89E+03,3.34E+03,,,,,,,,,,,,24515,29197,26277,,8.869020444,26663,0.00534979,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_36,AR,AR,36.00,AR_5_9,Nov2019,11/5/2019,6,5,AR5,1,A,9,"1,738",,,,,,,50,8.23,,,22.5,0.65,0.12,100,4.16E+03,3.88E+03,3.80E+03,2.56E+03,2.76E+03,2.72E+03,1.00,2.68E+03,3.95E+03,,,,,,,,,,,,65808,68084,66756,,1.709373871,66882.66667,0.014848269,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_36,AR,tapres,36.00,tapres_tapres_9,Nov2019,11/5/2019,6,tapres,tapres,1,A,9,"1,738",,,,,,,,8.76,,,23.3,1.18,0.02,100,6.64E+02,6.28E+02,6.27E+02,1.63E+02,1.70E+02,1.10E+02,1.00,1.48E+02,6.40E+02,,,,,,,,,,,,4657,4500,4524,,1.85450191,4560.333333,0.000753467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_43,AR,AR,43.00,AR_1_10,Nov2019,11/12/2019,7,1,AR1,1,A,10,"1,738",,,,,,,50,7.63,,,22.9,0.59,0.12,100,3.26E+03,4.17E+03,4.16E+03,2.82E+03,2.66E+03,2.93E+03,1.00,2.80E+03,3.86E+03,,,,,,,,,,,,33215,36462,36610,,5.415923968,35429,0.007334426,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_43,AR,AR,43.00,AR_2_10,Nov2019,11/12/2019,7,2,AR2,1,A,10,"1,738",,,,,,,50,7.66,,,22.8,0.97,0.11,100,1.41E+04,1.19E+04,1.47E+04,9.88E+03,1.02E+04,9.76E+03,1.00,9.96E+03,1.36E+04,,,,,,,,,,,,86008,90392,86157,,2.844189374,87519,0.020012961,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_43,AR,AR,43.00,AR_3_10,Nov2019,11/12/2019,7,3,AR3,1,A,10,"1,738",,,,,,,50,7.75,,,22.8,0.72,0.1,100,7.28E+03,7.60E+03,7.48E+03,3.56E+03,4.16E+03,3.55E+03,1.00,3.75E+03,7.45E+03,,,,,,,,,,,,30303,26567,33365,,11.31899216,30078.33333,0.006115605,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_43,AR,AR,43.00,AR_4_10,Nov2019,11/12/2019,7,4,AR4,1,A,10,"1,738",,,,,,,50,7.8,,,22.8,0.83,0.09,100,1.51E+03,1.42E+03,1.49E+03,8.81E+02,9.99E+02,1.00E+03,1.00,9.60E+02,1.47E+03,,,,,,,,,,,,11210,11372,11531,,1.411505905,11371,0.002077372,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_43,AR,AR,43.00,AR_5_10,Nov2019,11/12/2019,7,5,AR5,1,A,10,"1,738",,,,,,,50,7.83,,,22.8,0.7,0.17,100,2.97E+03,3.19E+03,3.36E+03,2.18E+03,2.22E+03,2.22E+03,1.00,2.21E+03,3.17E+03,,,,,,,,,,,,50572,55889,53929,,5.029453701,53463.33333,0.011580304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_43,AR,tapres,43.00,tapres_tapres_10,Nov2019,11/12/2019,7,tapres,tapres,1,A,10,"1,738",,,,,,,,8.86,,,23.1,1.42,0.35,100,7.23E+02,5.94E+02,6.03E+02,6.60E+01,9.80E+01,7.00E+01,1.00,7.80E+01,6.40E+02,,,,,,,,,,,,3720,4096,3807,,5.080507691,3874.333333,0.000628748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_44,AR,AR,44.00,AR_2_10,Nov2019,11/13/2019,7,2,AR2,1,A,10,"1,738",,,,,,,50,,,,,,,100,1.43E+04,1.35E+04,1.43E+04,5.27E+03,5.21E+03,4.17E+03,1.00,4.88E+03,1.40E+04,,,,,,,,,,,,,,,,,,0,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_44,AR,tapres,44.00,tapres_tapres_10,Nov2019,11/13/2019,7,tapres,tapres,1,A,10,"1,738",,,,,,,,,69.905,,,,,100,2.03E+02,1.73E+02,1.96E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR1_49,AR,AR,49.00,AR_1_11,Nov2019,11/18/2019,7,1,AR1,1,A,11,"1,738",,,,,,,50,7.95,,,22.3,0.54,0.04,100,6.81E+03,6.71E+03,5.91E+03,3.57E+03,3.52E+03,3.66E+03,1.00,3.58E+03,6.48E+03,,,,,,,,,,,,99772,85390,95998,,7.956364313,93720,0.02159293,40983,39931,41870,40928,,,0.008608362,0.012984568,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR2_49,AR,AR,49.00,AR_2_11,Nov2019,11/18/2019,7,2,AR2,1,A,11,"1,738",,,,,,,50,7.84,,,22.4,0.51,0.03,100,5.44E+03,5.21E+03,5.60E+03,3.21E+03,3.13E+03,3.60E+03,1.00,3.31E+03,5.42E+03,,,,,,,,,,,,48348,45179,60863,,16.11463065,51463.33333,0.011100446,10436,10285,11326,10682.33333,,,0.001938194,0.009162253,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR3_49,AR,AR,49.00,AR_3_11,Nov2019,11/18/2019,7,3,AR3,1,A,11,"1,738",,,,,,,50,7.82,,,22.6,0.52,0.06,100,8.07E+03,7.86E+03,7.14E+03,5.19E+03,5.82E+03,4.82E+03,1.00,5.28E+03,7.69E+03,,,,,,,,,,,,43781,47752,53844,,10.45959898,48459,0.010383491,25926,25640,27017,26194.33333,,,0.005245512,0.005137979,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4_49,AR,AR,49.00,AR_4_11,Nov2019,11/18/2019,7,4,AR4,1,A,11,"1,738",,,,,,,50,8.04,,,22.4,0.93,0.09,100,9.30E+03,1.03E+04,9.42E+03,3.85E+03,3.83E+03,3.76E+03,1.00,3.81E+03,9.66E+03,,,,,,,,,,,,22339,22475,22649,,0.690990708,22487.66667,0.00442829,18401,18769,19183,18784.33333,,,0.003626528,0.000801761,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5_49,AR,AR,49.00,AR_5_11,Nov2019,11/18/2019,7,5,AR5,1,A,11,"1,738",,,,,,,50,7.93,,,22.3,0.76,0.2,100,6.39E+03,6.81E+03,6.88E+03,3.24E+03,3.27E+03,3.24E+03,1.00,3.25E+03,6.70E+03,,,,,,,,,,,,89544,88504,92024,,2.008825123,90024,0.020649782,73456,73563,72129,73049.33333,,,0.016375395,0.004274387,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF1_49,BF,BF,49,bf_1_11,Nov2019,11/21/19,8,1,BF1,1,A,,,,,,,,70,,,,,,,,,1758,1737,1804,520,490,489,1,,,,,1,1758,1737,1804,520,490,489,247255.7745,6.99E+04,104829,99670,96180,1.63E-04,,,,89885,88278,88590,,0.000142578,2.02637E-05,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF2_49,BF,BF,49,bf_2_11,Nov2019,11/21/19,8,2,BF2,1,A,,,,,,,,70,,,,,,,,,2288,2969,2886,733,748,671,1,,,,,1,2288,2969,2886,733,748,671,377498.7783,1.00E+05,79020,77111,76653,1.23E-04,,,,70938,71610,70739,,0.00011123,1.13415E-05,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF3_49,BF,BF,49,bf_3_11,Nov2019,11/21/19,8,3,BF3,1,A,,,,,,,,70,,,,,,,,,1170,1275,1376,473,463,445,1,,,,,1,1170,1275,1376,473,463,445,177923.3154,6.44E+04,62488,59955,62579,9.50E-05,,,,60282,58775,59705,,9.14317E-05,3.56079E-06,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF4_49,BF,BF,49,bf_4_11,Nov2019,11/21/19,8,4,BF4,1,A,,,,,,,,70,,,,,,,,,4771,4835,4621,1835,1687,1695,1,,,,,1,4771,4835,4621,1835,1687,1695,663807.2481,2.43E+05,43171,42797,49927,6.74E-05,,,,39842,39800,40745,,5.89542E-05,8.4873E-06,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF5_49,BF,BF,49,bf_5_11,Nov2019,11/21/19,8,5,BF5,1,A,,,,,,,,70,,,,,,,,,1465,1447,1474,493,548,557,1,,,,,1,1465,1447,1474,493,548,557,204673.9552,7.45E+04,55771,52061,52061,8.08E-05,,,,51022,50527,,,7.65495E-05,4.23384E-06,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapres_49,AR,tapres,49.00,tapres_tapres_11,Nov2019,11/18/2019,7,tapres,tapres,1,A,11,"1,738",,,,,,,,8.67,,,22.3,1.34,0.06,100,8.00E+02,7.14E+02,5.84E+02,9.10E+01,9.50E+01,1.11E+02,1.00,9.90E+01,6.99E+02,,,,,,,,,,,,4048,4338,4116,,3.639303424,4167.333333,0.000681743,3394,3296,3372,3354,,,0.000535738,0.000146004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
